UTC:,ykdhf,,,,,,,,,,,,,,,,,
time_pc [s],Mass [g],time_mcu[ms],data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:
0.568585634,0,65472,30180,11791,9343,8734,8632,8441,8272,8522,8544,8529,8587,9130,8683,9028,27636,7100
0.568585634,0,A,,,,,,,,,,,,,,,,
0.585456133,0,65487,4600,22848,11916,9321,8859,8551,8448,8690,8551,8426,8646,9035,8544,8609,9181,28076
0.601077557,0,65502,24952,6623,24586,12129,9269,8705,8434,8639,8565,8551,8610,8969,8397,8419,8602,9702
0.618563414,0,65517,10208,24696,6836,24028,12166,9248,8793,8954,8815,8720,8749,9269,8610,8492,8580,9380
0.634546518,0,65532,9277,10296,24402,6748,22643,11124,8984,8932,8822,8573,8756,9159,8485,8522,8456,9042
0.649835587,0,65546,8720,9042,10252,23090,6608,20487,10633,9094,8851,8639,8646,9028,8426,8353,8250,8947
0.668989897,0,65561,8588,8749,9035,9401,21133,6278,18904,10882,9203,8741,8712,9020,8353,8294,8272,8764
0.683851957,0,65576,8551,8558,8800,8844,9313,19556,6191,19270,11168,9203,8881,9299,8470,8287,8294,8815
0.688526154,0,65591,8558,8566,8852,8705,8844,9277,19431,6169,19380,11044,9225,9460,8485,8419,8346,8830
0.704501629,0,65606,8646,8609,8756,8675,8690,8844,9658,20025,6271,21492,11249,9841,8705,8419,8412,8815
0.720119476,0,65620,8514,8514,8631,8492,8507,8544,8859,9665,21902,6513,24762,12642,8918,8492,8397,8888
0.735750675,0,65635,8566,8588,8676,8514,8492,8514,8522,8859,9445,25048,6814,38333,13603,8976,8492,8918
0.751364946,0,65650,9101,9035,9299,9006,8896,8866,8910,9358,9680,10560,38370,8309,48414,15677,9768,9570
0.766986132,0,65665,9042,8932,9006,8764,8756,8668,8566,8874,8844,9035,10626,48766,9446,29755,12019,9511
0.782613993,0,65680,8925,8734,8734,8617,8551,8426,8331,8573,8551,8536,8940,11293,30114,7356,26191,11623
0.797874928,0,65694,9621,9020,8947,8654,8588,8404,8316,8580,8529,8499,8749,9636,9416,26551,7012,27702
0.813495874,0,65709,30253,11755,9291,8844,8588,8448,8382,8529,8543,8478,8639,9137,8632,9050,27702,7034
0.813495874,0,A,,,,,,,,,,,,,,,,
0.829118013,0,65724,4600,22841,11997,9328,8896,8551,8397,8654,8507,8529,8668,9064,8514,8646,9270,28090
0.845071793,0,65739,25355,6572,24586,12070,9255,8676,8397,8551,8573,8492,8632,8940,8316,8375,8558,9761
0.860649109,0,65754,10179,25062,6799,24065,12129,9328,8786,8932,8807,8632,8830,9226,8566,8463,8544,9387
