UTC:,52:34.5,,,,,,,,,,,,,,,
Isrc:,105,,,,,,,,,,,,,,,
time [s],data*0.1 [mV]:,,,,,,,,,,,,,,,
1657587154,A,,,,,,,,,,,,,,,
1657587154,21791,1364,1348,1368,21931,22061,22057,22052,22055,22052,22055,22058,22049,22055,22049,21980
1657587154,A,,,,,,,,,,,,,,,
1657587154,21792,1365,1348,1368,21931,22062,22059,22055,22055,22050,22054,22052,22055,22055,22261,21981
1657587154,A,,,,,,,,,,,,,,,
1657587154,21793,1364,1349,1369,21932,22055,22061,22053,22060,22052,22052,22052,22050,22049,22045,21981
1657587154,A,,,,,,,,,,,,,,,
1657587154,21797,1365,1347,1368,21925,22057,22055,22054,22056,22053,22052,22056,22055,22058,22053,21981
1657587154,A,,,,,,,,,,,,,,,
1657587154,21792,1364,1348,1369,21932,22059,22053,22056,22058,22053,22052,22054,22054,22053,22047,21978
1657587154,A,,,,,,,,,,,,,,,
1657587154,21799,1363,1348,1368,21933,22224,22058,22055,22055,22052,22055,22056,22055,22055,22049,21977
1657587154,A,,,,,,,,,,,,,,,
1657587154,22270,1363,1348,1368,21938,22062,22062,22061,22061,22059,22052,22053,22051,22052,22048,21981
1657587154,A,,,,,,,,,,,,,,,
1657587154,21799,1364,1348,1368,21926,22063,22055,22061,22061,22053,22055,22055,22053,22048,22048,21977
1657587154,A,,,,,,,,,,,,,,,
1657587154,21797,1364,1348,1368,22369,22065,22055,22054,22053,22058,22059,22052,22055,22049,22048,22105
1657587154,A,,,,,,,,,,,,,,,
1657587154,21797,1363,1348,1369,21936,22065,22064,22061,22055,22051,22052,22055,22055,22056,22050,21981
1657587154,A,,,,,,,,,,,,,,,
1657587154,21791,1364,1348,1368,21930,22059,22058,22056,22053,22053,22056,22061,22058,22058,22052,21983
1657587154,A,,,,,,,,,,,,,,,
1657587154,21795,1364,1348,1368,21938,22062,22057,22055,22058,22055,22055,22054,22055,22053,22055,21980
1657587154,A,,,,,,,,,,,,,,,
1657587155,21791,1364,1348,1367,21927,22061,22203,22058,22055,22053,22055,22057,22056,22056,22052,21983
1657587155,A,,,,,,,,,,,,,,,
1657587155,21795,1365,1350,1370,21932,22062,22058,22055,22055,22058,22058,22058,22055,22057,22052,21981
1657587155,A,,,,,,,,,,,,,,,
1657587155,21793,1364,1348,1370,21930,22061,22059,22056,22059,22055,22055,22058,22056,22059,22050,21981
1657587155,A,,,,,,,,,,,,,,,
1657587155,21798,1364,1347,1368,21932,22871,22059,22057,22058,22052,22054,22056,22057,22057,22055,21984
1657587155,A,,,,,,,,,,,,,,,
1657587155,21797,1364,1349,1368,21931,22062,22061,22061,22775,22059,22058,22059,22059,22061,22059,21986
1657587155,A,,,,,,,,,,,,,,,
1657587155,21798,1365,1348,1369,21934,22061,22061,22064,22059,22058,22058,22056,22064,22060,22058,21986
1657587155,A,,,,,,,,,,,,,,,
1657587155,21798,1364,1347,1368,22534,22064,22063,22059,22062,22055,22055,22061,22062,22055,22054,21981
1657587155,A,,,,,,,,,,,,,,,
1657587155,21801,1365,1349,1367,21930,22059,22057,22154,22055,22059,22058,22058,22058,22056,22053,21984
1657587155,A,,,,,,,,,,,,,,,
1657587155,21795,1365,1349,1367,21936,22064,22060,22058,22057,22055,22055,22057,22055,22055,22050,21978
1657587155,A,,,,,,,,,,,,,,,
1657587155,21801,1365,1348,1370,21933,22059,22057,22055,22057,22054,22056,22056,22064,22055,22055,21984
1657587155,A,,,,,,,,,,,,,,,
1657587155,21803,1364,1350,1368,21933,22062,22843,22061,22058,22061,22055,22058,22056,22061,22053,21981
1657587155,A,,,,,,,,,,,,,,,
1657587155,21803,1364,1350,1368,21939,22058,22056,22064,22060,22817,22055,22058,22058,22053,22052,21984
1657587155,A,,,,,,,,,,,,,,,
1657587155,21800,1363,1349,1367,21932,22066,22061,22058,22061,22062,22059,22060,22059,22057,22052,21983
1657587155,A,,,,,,,,,,,,,,,
1657587155,21796,1365,1348,1368,21931,22432,22059,22059,22058,22058,22055,22058,22062,22058,22052,21978
1657587155,A,,,,,,,,,,,,,,,
1657587155,21802,1364,1350,1368,21932,22060,22057,22055,22065,22055,22056,22056,22055,22058,22052,21981
1657587155,A,,,,,,,,,,,,,,,
1657587155,21800,1364,1348,1369,21931,22064,22066,22058,22056,22055,22055,22056,22057,22060,22060,21980
1657587155,A,,,,,,,,,,,,,,,
1657587155,21802,1364,1348,1370,22100,22061,22058,22062,22066,22054,22065,22055,22063,22055,22062,21988
1657587155,A,,,,,,,,,,,,,,,
1657587155,21803,1364,1349,1370,21930,22060,22058,22795,22058,22055,22064,22059,22058,22059,22057,21982
1657587155,A,,,,,,,,,,,,,,,
1657587155,21803,1365,1350,1369,21936,22062,22061,22059,22058,22057,22757,22057,22058,22058,22055,21983
1657587155,A,,,,,,,,,,,,,,,
1657587155,21794,1364,1348,1368,21932,22069,22058,22056,22057,22052,22064,22055,22059,22056,22058,21983
1657587155,A,,,,,,,,,,,,,,,
1657587155,21801,1364,1349,1367,21935,22065,22207,22061,22060,22057,22054,22061,22064,22061,22057,21986
1657587155,A,,,,,,,,,,,,,,,
1657587155,21795,1364,1348,1368,21932,22058,22059,22058,22058,22075,22055,22056,22064,22063,22054,21985
1657587155,A,,,,,,,,,,,,,,,
1657587155,21794,1364,1349,1369,21940,22066,22059,22058,22058,22057,22059,22060,22077,22061,22058,21986
1657587155,A,,,,,,,,,,,,,,,
1657587155,21795,1364,1350,1369,21933,22054,22066,22062,22058,22063,22064,22058,22056,22058,22052,21983
