UTC:,08:37.5,,,,,,,,,,,,,,,,,,,,
Isrc:,320,,,,,,,,,,,,,,,,,,,,
time [s],data*0.1 [mV]:,,,,,,,,,,,,,,,,,,,,
1657508918,40395,4133,4193,4158,40348,40399,40399,40399,40398,40400,40394,40399,40399,40404,40393,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40386,4132,4192,4158,40355,40396,40407,40399,40401,40411,40397,40402,40408,40397,40398,40403,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40390,4133,4194,4158,40346,40396,40404,40400,40403,40402,40402,40399,40398,40409,40390,40402,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40393,4133,4193,4158,40351,40399,40408,40399,40399,40406,40396,40398,40409,40402,40399,40402,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40390,4133,4193,4157,40343,40400,40406,40395,40402,40407,40396,40399,40404,40401,40396,40406,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40389,4135,4193,4158,40351,40396,40411,40398,40408,40400,40403,40401,40399,40412,40396,40403,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40393,4133,4193,4158,40354,40396,40400,40407,40401,40399,40402,40403,40402,40401,40397,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40391,4135,4193,4158,40345,40403,40408,40399,40407,40405,40393,40402,40406,40399,40402,40402,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40397,4135,4193,4158,40348,40407,40404,40402,40404,40402,40400,40403,40404,40399,40402,40402,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40393,4132,4193,4158,40347,40396,40405,40394,40402,40406,40399,40403,40402,40398,40406,40408,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40393,4133,4192,4159,40343,40409,40403,40400,40399,40398,40391,40406,40401,40399,40402,40400,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40387,4134,4193,4158,40345,40399,40400,40396,40397,40406,40394,40399,40406,40406,40396,40406,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40386,4132,4193,4158,40345,40404,40406,40400,40399,40408,40396,40399,40400,40405,40396,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40398,4132,4193,4159,40344,40393,40402,40395,40405,40402,40403,40401,40402,40406,40394,40398,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40395,4134,4194,4158,40345,40392,40402,40399,40404,40401,40401,40406,40399,40400,40401,40398,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40390,4133,4193,4158,40342,40402,40399,40397,40406,40400,40396,40403,40397,40399,40403,40395,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40386,4133,4193,4158,40353,40397,40400,40403,40398,40400,40402,40397,40398,40406,40398,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40393,4133,4193,4158,40348,40396,40399,40397,40403,40400,40402,40400,40404,40402,40403,40396,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40386,4134,4194,4158,40356,40402,40397,40397,40406,40399,40397,40404,40402,40398,40403,40396,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40387,4133,4193,4158,40346,40394,40403,40397,40400,40396,40396,40402,40402,40395,40396,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40392,4133,4193,4157,40345,40403,40408,40400,40402,40409,40400,40401,40406,40395,40399,40406,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40395,4133,4192,4158,40347,40402,40405,40400,40404,40402,40396,40407,40396,40395,40403,40402,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40390,4132,4193,4158,40347,40399,40401,40397,40402,40403,40393,40408,40405,40400,40397,40397,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40387,4132,4193,4158,40348,40394,40407,40406,40397,40403,40405,40398,40400,40404,40399,40398,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40397,4133,4193,4158,40354,40397,40401,40401,40403,40402,40406,40399,40399,40399,40399,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40390,4133,4193,4158,40348,40396,40403,40404,40409,40399,40397,40407,40398,40400,40404,40402,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40390,4132,4193,4158,40345,40399,40401,40398,40400,40406,40397,40397,40397,40397,40397,40396,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40392,4134,4193,4159,40342,40399,40402,40399,40405,40402,40401,40402,40402,40399,40396,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40394,4135,4194,4158,40347,40395,40400,40400,40396,40397,40400,40401,40402,40399,40396,40396,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40390,4133,4194,4159,40349,40404,40412,40404,40399,40399,40397,40407,40397,40400,40396,40405,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40386,4133,4193,4159,40347,40395,40405,40399,40399,40404,40399,40402,40401,40406,40396,40399,,,,,
1657508918,A,,,,,,,,,,,,,,,,,,,,
1657508918,40394,4133,4194,4157,40348,40392,40405,40402,40403,40398,40404,40406,40399,40402,40402,40399,,,,,
